               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10314,             0.16663,            0.037286,             0.11029,             0.16578,            0.085676,            0.026809,            0.081919,             0.13539,            0.027988,            0.070811,           0.0032432,           0.0032432
                   1,            0.077708,             0.15681,            0.021537,             0.79083,             0.14057,             0.14532,            0.057301,            0.075089,              0.1613,            0.019342,            0.040746,           0.0065115,           0.0065115
                   2,            0.070744,             0.14882,            0.014663,             0.76366,             0.12687,             0.14018,             0.03212,            0.082165,             0.15241,            0.014676,            0.010615,           0.0097137,           0.0097137
                   3,             0.06958,             0.14907,            0.012416,             0.20142,             0.69589,             0.23857,            0.075732,            0.069208,             0.13998,            0.011426,            0.009703,            0.009703,            0.009703
                   4,            0.068821,             0.13902,            0.010855,             0.41264,             0.59128,             0.45286,             0.17155,            0.060213,             0.11138,           0.0082836,            0.009703,            0.009703,            0.009703
                   5,             0.05862,             0.15906,            0.010001,             0.45615,             0.73604,              0.5442,             0.22304,            0.047155,              0.1136,           0.0071974,            0.009604,            0.009604,            0.009604
                   6,            0.055156,              0.1457,           0.0091977,             0.62858,             0.74438,             0.68311,             0.29932,            0.041847,             0.11389,           0.0065162,            0.009505,            0.009505,            0.009505
                   7,            0.048168,              0.1453,           0.0085168,             0.46869,             0.68065,             0.60244,              0.2797,            0.046868,             0.11287,           0.0049367,            0.009406,            0.009406,            0.009406
                   8,            0.047783,             0.14642,             0.00642,             0.48379,             0.72716,             0.67414,             0.36471,            0.041812,             0.10986,            0.004369,            0.009307,            0.009307,            0.009307
                   9,             0.04674,             0.14481,           0.0055628,             0.63382,             0.76484,             0.75935,             0.36169,            0.040887,             0.10839,           0.0035632,            0.009208,            0.009208,            0.009208
                  10,            0.042433,             0.14779,           0.0050038,             0.67192,              0.8752,             0.85223,             0.48416,            0.034536,             0.10937,            0.003363,            0.009109,            0.009109,            0.009109
                  11,            0.042479,             0.14394,           0.0045858,             0.55057,             0.82569,              0.7445,             0.42785,            0.038218,             0.10669,            0.003169,             0.00901,             0.00901,             0.00901
                  12,            0.042428,             0.14346,            0.004058,              0.5791,             0.77226,             0.73239,             0.42064,             0.03927,              0.1065,            0.002726,            0.008911,            0.008911,            0.008911
                  13,            0.039447,             0.14739,           0.0036621,             0.54073,             0.84893,             0.79091,             0.44705,            0.036895,             0.10838,           0.0025393,            0.008812,            0.008812,            0.008812
                  14,            0.040839,             0.14163,           0.0033504,               0.768,             0.83269,             0.87546,             0.49058,            0.036532,             0.10568,           0.0024279,            0.008713,            0.008713,            0.008713
                  15,            0.039796,             0.13654,           0.0032635,             0.73153,             0.82614,             0.87434,             0.50671,            0.034627,             0.10602,           0.0026046,            0.008614,            0.008614,            0.008614
                  16,            0.037541,             0.13596,           0.0033551,             0.76016,             0.83641,             0.84154,             0.54127,            0.031917,             0.10596,           0.0026291,            0.008515,            0.008515,            0.008515
                  17,            0.037067,             0.13652,            0.003309,             0.66716,             0.85829,             0.83529,              0.5107,            0.033646,             0.11482,            0.002681,            0.008416,            0.008416,            0.008416
                  18,            0.037591,             0.14437,           0.0027834,             0.80753,             0.83564,             0.86166,             0.49351,            0.031871,              0.1264,           0.0022865,            0.008317,            0.008317,            0.008317
                  19,            0.036466,             0.13881,           0.0026455,             0.81414,             0.87135,             0.88047,               0.558,            0.030263,             0.10385,           0.0021756,            0.008218,            0.008218,            0.008218
                  20,            0.036109,              0.1363,            0.002782,             0.75085,             0.89163,             0.88094,             0.55219,            0.030806,             0.10851,           0.0020662,            0.008119,            0.008119,            0.008119
