               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10355,             0.16701,            0.037538,             0.73902,             0.10194,            0.054918,            0.015601,             0.08791,             0.12282,            0.027489,            0.070811,           0.0032432,           0.0032432
                   1,            0.077075,             0.15566,            0.021355,             0.74933,              0.1235,            0.073601,            0.022979,            0.071658,             0.15461,            0.019558,            0.040681,           0.0064464,           0.0064464
                   2,            0.072877,             0.14651,            0.014612,             0.71255,             0.14468,             0.11749,            0.034983,            0.081038,             0.15293,            0.015535,            0.010418,           0.0095175,           0.0095175
                   3,            0.071302,             0.14789,            0.012337,             0.24128,             0.54712,              0.2523,            0.092478,            0.064578,             0.13084,              0.0098,            0.009406,            0.009406,            0.009406
                   4,            0.060907,             0.14643,             0.01072,             0.51814,             0.55628,             0.51584,             0.20024,            0.054247,             0.11288,           0.0069769,            0.009406,            0.009406,            0.009406
                   5,            0.058673,             0.15768,           0.0091518,              0.5726,             0.71411,             0.67478,             0.29293,            0.050266,             0.10387,           0.0062394,            0.009208,            0.009208,            0.009208
                   6,            0.053835,               0.146,             0.00813,             0.52634,             0.73533,             0.65544,             0.29743,            0.041855,             0.10449,           0.0052356,             0.00901,             0.00901,             0.00901
                   7,            0.049095,             0.15298,           0.0070184,             0.50515,             0.73641,             0.64738,             0.30268,            0.052444,             0.10639,           0.0041109,            0.008812,            0.008812,            0.008812
                   8,            0.047934,             0.14685,           0.0056005,              0.6635,             0.82512,              0.7603,              0.4064,            0.037562,             0.10551,           0.0036468,            0.008614,            0.008614,            0.008614
                   9,            0.044144,             0.14959,           0.0048914,             0.62194,             0.82672,              0.7481,                0.37,            0.040726,             0.10237,           0.0032887,            0.008416,            0.008416,            0.008416
                  10,              0.0441,             0.14819,           0.0043469,             0.61799,             0.87064,             0.79913,             0.40708,            0.039421,             0.10471,           0.0031035,            0.008218,            0.008218,            0.008218
                  11,            0.042884,             0.14283,           0.0040437,             0.60411,             0.82865,             0.81809,             0.41001,            0.042055,              0.1044,           0.0029289,             0.00802,             0.00802,             0.00802
                  12,             0.04167,             0.14478,           0.0037954,             0.75324,             0.82659,             0.84145,              0.4867,            0.035385,             0.10454,           0.0030834,            0.007822,            0.007822,            0.007822
                  13,             0.04011,             0.14714,           0.0036174,             0.79805,             0.81478,             0.86482,             0.51852,            0.033763,             0.10759,            0.002695,            0.007624,            0.007624,            0.007624
                  14,            0.038473,              0.1444,           0.0033918,             0.69443,             0.82712,             0.81364,             0.49969,            0.034592,             0.10004,            0.002657,            0.007426,            0.007426,            0.007426
                  15,            0.037633,             0.14167,           0.0032162,             0.84116,             0.89525,             0.91987,             0.57613,            0.032275,             0.10325,           0.0026879,            0.007228,            0.007228,            0.007228
                  16,            0.036511,              0.1354,           0.0031761,             0.81976,             0.86163,             0.88899,             0.57322,            0.029405,             0.10153,            0.002683,             0.00703,             0.00703,             0.00703
                  17,            0.036284,             0.13698,           0.0029189,             0.81406,             0.87713,             0.90225,             0.57003,            0.032218,             0.10118,           0.0023424,            0.006832,            0.006832,            0.006832
                  18,            0.036268,             0.14171,           0.0026638,              0.8489,             0.91313,             0.91613,             0.59275,            0.029558,             0.10091,           0.0023401,            0.006634,            0.006634,            0.006634
                  19,            0.035135,             0.13744,           0.0026912,             0.75434,             0.91776,              0.8994,             0.54514,            0.029361,             0.10287,            0.002256,            0.006436,            0.006436,            0.006436
                  20,            0.034166,             0.13905,           0.0025737,             0.84147,             0.92531,             0.92158,             0.57442,            0.028251,             0.10033,           0.0021591,            0.006238,            0.006238,            0.006238
                  21,            0.033285,             0.14066,           0.0023403,             0.82223,             0.91355,             0.90808,             0.53487,            0.033477,              0.1051,             0.00228,             0.00604,             0.00604,             0.00604
                  22,            0.033727,             0.13559,           0.0023532,             0.82031,             0.92534,              0.9168,             0.57296,             0.03069,             0.10151,           0.0021606,            0.005842,            0.005842,            0.005842
                  23,            0.032617,             0.14293,           0.0022863,             0.80976,             0.88151,             0.91237,              0.5669,            0.030483,             0.10079,           0.0020187,            0.005644,            0.005644,            0.005644
                  24,            0.032343,             0.13509,           0.0020699,             0.84386,             0.89138,             0.92067,              0.5585,            0.030169,              0.1005,           0.0019945,            0.005446,            0.005446,            0.005446
                  25,            0.033101,             0.12307,            0.002422,             0.85689,             0.89412,              0.9211,             0.58343,            0.026159,             0.10053,           0.0020143,            0.005248,            0.005248,            0.005248
                  26,            0.030651,             0.13415,           0.0020541,             0.83831,              0.9067,             0.91213,              0.5977,             0.02698,             0.10208,           0.0018955,             0.00505,             0.00505,             0.00505
                  27,            0.030172,             0.13768,           0.0021303,             0.87376,              0.8899,             0.92571,             0.60409,            0.026613,             0.10207,           0.0018666,            0.004852,            0.004852,            0.004852
                  28,            0.030333,             0.13458,           0.0018808,             0.85942,             0.89094,             0.92792,             0.60897,            0.026583,             0.10142,           0.0017574,            0.004654,            0.004654,            0.004654
                  29,            0.029898,             0.13374,           0.0019456,              0.8809,             0.88438,             0.93306,             0.60191,            0.026666,             0.10406,           0.0017473,            0.004456,            0.004456,            0.004456
                  30,            0.029338,             0.12937,           0.0016476,             0.88443,               0.873,             0.93469,               0.615,            0.026231,             0.10483,           0.0017187,            0.004258,            0.004258,            0.004258
                  31,            0.027849,              0.1287,           0.0016899,             0.84644,             0.91709,             0.92894,             0.59712,            0.028409,             0.10344,           0.0016445,             0.00406,             0.00406,             0.00406
                  32,            0.028445,             0.13072,           0.0014372,             0.84844,             0.89346,             0.92005,             0.61523,            0.027456,              0.1013,           0.0016366,            0.003862,            0.003862,            0.003862
                  33,            0.029032,             0.12175,           0.0016262,             0.81052,             0.92115,             0.92008,             0.59856,            0.025745,             0.10527,           0.0016925,            0.003664,            0.003664,            0.003664
                  34,            0.027935,             0.12791,           0.0016166,             0.88266,             0.88226,             0.92592,             0.62856,            0.024745,             0.10287,           0.0015434,            0.003466,            0.003466,            0.003466
                  35,            0.027326,             0.12972,           0.0014044,             0.87131,             0.90154,             0.92218,             0.61081,            0.025132,             0.10161,           0.0014787,            0.003268,            0.003268,            0.003268
                  36,            0.027636,             0.12579,           0.0014363,             0.87721,             0.89076,             0.92884,             0.62293,            0.025647,             0.10287,            0.001479,             0.00307,             0.00307,             0.00307
                  37,            0.027898,             0.12429,           0.0013874,             0.85488,             0.91806,             0.92643,             0.61179,            0.025741,             0.10304,            0.001424,            0.002872,            0.002872,            0.002872
                  38,            0.026771,             0.11791,           0.0013068,             0.86072,             0.90118,             0.91823,             0.61199,            0.025399,             0.10443,           0.0015315,            0.002674,            0.002674,            0.002674
                  39,            0.026761,             0.12573,           0.0013118,             0.88419,             0.85909,             0.92042,             0.61841,            0.024964,             0.10316,            0.001449,            0.002476,            0.002476,            0.002476
                  40,            0.026557,             0.12684,           0.0012995,             0.87251,              0.8785,             0.91691,             0.61522,            0.025204,              0.1031,           0.0014044,            0.002278,            0.002278,            0.002278
                  41,            0.026412,             0.12122,           0.0011758,             0.85747,             0.91596,             0.91953,             0.61915,            0.024648,             0.10206,           0.0013423,             0.00208,             0.00208,             0.00208
                  42,            0.025831,             0.12289,           0.0013395,             0.88433,             0.87974,             0.92949,             0.61962,            0.024776,             0.10428,           0.0013619,            0.001882,            0.001882,            0.001882
                  43,            0.025284,             0.11989,           0.0011585,             0.86259,             0.90679,             0.92455,              0.6168,            0.024695,              0.1065,           0.0013495,            0.001684,            0.001684,            0.001684
                  44,            0.025183,             0.12437,           0.0011341,             0.89809,             0.88954,             0.92739,             0.62725,            0.024593,             0.10527,           0.0013808,            0.001486,            0.001486,            0.001486
                  45,            0.025231,             0.12081,           0.0011432,             0.88488,             0.88358,             0.93048,             0.63283,            0.024296,             0.10319,           0.0013091,            0.001288,            0.001288,            0.001288
                  46,             0.02519,             0.11844,           0.0010533,             0.86674,             0.89982,             0.92928,             0.62084,            0.024408,             0.10632,           0.0013187,             0.00109,             0.00109,             0.00109
                  47,            0.024776,             0.11471,           0.0010424,             0.85364,             0.91388,             0.92877,              0.6278,            0.024176,             0.10441,           0.0012601,            0.000892,            0.000892,            0.000892
                  48,            0.024942,             0.11592,           0.0011234,             0.88994,             0.88953,             0.93353,             0.62838,            0.024359,             0.10456,            0.001278,            0.000694,            0.000694,            0.000694
                  49,            0.025277,             0.12807,           0.0010357,             0.86506,             0.89943,             0.92883,             0.62759,            0.024262,             0.10526,           0.0012763,            0.000496,            0.000496,            0.000496
